trajectory,path_index,parent_index,sector,mode,phi_H,charge_fraction,Phi1,T_MeV,mu_B_MeV,mu_B_over_T,s_over_T3,n_B_over_T3,s_over_n_B,branch_id,locally_stable,inside_spinodal,reduced_distance_to_CEP,Re_omega_hat,Im_omega_hat,shooting_source_residual,spectral_distance_hat,spectral_overlap_parent,spectral_pencil_residual
mu0,1,0,vector,0,3.25,0.0,0.0,134.61638852124653,0.0,0.0,3.172020247987524,0.0,nan,stable_crossover,True,False,1.043298297090402,1.2820274156483047,-0.14042801903287452,7.854673630336717e-13,1.9551425552020857e-05,0.9987957318636888,6.150065501951061e-16
mu0,2,1,vector,0,3.0,0.0,0.0,142.1466612676674,0.0,0.0,3.941600236981508,0.0,nan,stable_crossover,True,False,1.0662615710279484,1.2057976346611092,-0.19052335002040396,2.2518974851957344e-12,6.736674274455395e-06,0.9988249768818452,6.208047344176228e-16
mu0,3,2,vector,0,2.75,0.0,0.0,150.23164288847676,0.0,0.0,4.860262627701062,0.0,nan,stable_crossover,True,False,1.0957427403739421,1.1390689281082713,-0.25168849730959464,5.668319510829888e-12,1.901585334102947e-05,0.9988683248400158,7.160551573454463e-16
mu0,4,3,vector,0,2.5,0.0,0.0,159.1706552660586,0.0,0.0,5.934346698940288,0.0,nan,stable_crossover,True,False,1.133692859661324,1.0824116258282603,-0.3253783291535386,1.1214716515291647e-11,4.784857813004965e-05,0.9989289217539663,7.360216949605308e-16
mu0,5,4,vector,0,2.25,0.0,0.0,169.4024471962488,0.0,0.0,7.159469110385611,0.0,nan,stable_crossover,True,False,1.183352830658618,1.0368004366078896,-0.41257925103081644,2.0287912841294655e-11,4.1086026118411754e-05,0.9990150831730541,7.483898607079152e-16
mu0,6,5,vector,0,2.0,0.0,0.0,181.57865082865828,0.0,0.0,8.516840662157595,0.0,nan,stable_crossover,True,False,1.2500399540066098,1.0034957679415768,-0.5127719432958368,1.3740774523499289e-11,5.999405658521413e-05,0.9991311059598944,7.039296760692953e-16
mu0,7,6,vector,0,1.75,0.0,0.0,196.6963301836139,0.0,0.0,9.970572537710634,0.0,nan,stable_crossover,True,False,1.3425375288666777,0.9836820875692096,-0.6223306582361392,8.93823280468992e-11,0.00015144576229284595,0.9992863414798807,7.645716888098042e-16
mu0,8,7,vector,0,1.5,0.0,0.0,216.35529406796533,0.0,0.0,11.466937217955648,0.0,nan,stable_crossover,True,False,1.4757232367874418,0.9775229632558112,-0.7328131229412392,1.6653199309580339e-10,0.0002587380472458825,0.9994837800391231,7.555744627047781e-16
mu0,9,8,vector,0,1.25,0.0,0.0,243.3057225326577,0.0,0.0,12.936356432086209,0.0,nan,stable_crossover,True,False,1.676011433820106,0.9821694271708585,-0.8312837579461492,2.4237741801133852e-11,0.00011104440243494236,0.9997000413105911,8.560034531296408e-16
mu0,10,9,vector,0,1.0,0.0,0.0,282.7652557531613,0.0,0.0,14.298380289341749,0.0,nan,stable_crossover,True,False,1.9941647253956716,0.9907773090357342,-0.9060713103193596,1.117388331479175e-13,7.81339010699702e-05,0.9998714645440347,7.621444770460557e-16
mu0,11,10,vector,0,0.75,0.0,0.0,346.18737624157274,0.0,0.0,15.469218134744926,0.0,nan,stable_crossover,True,False,2.5415717963245723,0.996919070291147,-0.9544992922652583,8.846505369116235e-15,0.0006285205890376775,0.9998842983375945,8.473253017818675e-16
mu_over_T_2,17,16,singlet,0,5.0,0.019326126434498197,68.5607514599236,87.142214812853,174.28442532354302,1.9999999506305528,0.6484495239697827,6.879148726357398e-05,9426.304761885058,stable_crossover,True,False,0.7241799096617293,1.7394952947562992,-0.3216310962769536,5.872656589183535e-11,6.266039485463434e-05,0.9999288925379475,6.206471394906306e-16
mu_over_T_2,16,15,singlet,0,4.75,0.03236052899870549,55.06412800026921,93.51384000528438,187.02768000970022,1.999999999990712,0.8122749876555013,0.00026001233311544186,3123.986381426232,stable_crossover,True,False,0.6918566817227215,1.6460431896928045,-0.2920797918223048,5.194150974357251e-12,6.119069349881044e-05,0.9999291282139314,6.434721736892067e-16
mu_over_T_2,15,14,singlet,0,4.5,0.05070022665833269,43.747401713128724,99.85141881163646,199.70283762098762,1.999999999977113,1.0210667895125864,0.0008708634399523626,1172.4763523985348,stable_crossover,True,False,0.664482241006017,1.5659862792899124,-0.2764755393619466,7.663790028628172e-13,4.9188246268832134e-05,0.9999319779043472,6.408100211345427e-16
mu_over_T_2,14,13,singlet,0,4.25,0.07434220757034397,34.30852639932777,106.02638949026223,212.0527789798818,1.9999999999939386,1.2884557057471053,0.00259280195153703,496.9356433040712,stable_crossover,True,False,0.642973942980754,1.496653595038378,-0.2706908118850004,1.742428417419192e-13,3.567469357192228e-05,0.9999355786184644,6.486664328468219e-16
mu_over_T_2,13,12,singlet,0,4.0,0.10210922810457891,26.52085745275096,111.92246758090434,223.84492921714758,1.9999999468859004,1.6328000736397883,0.006888958643665225,237.01696556724687,stable_crossover,True,False,0.627681807257381,1.436707593517449,-0.2716771234549205,3.277977328128059e-14,2.419588564422633e-05,0.9999379896401741,7.118200821500314e-16
mu_over_T_2,12,0,singlet,0,3.75,0.13164016657773406,20.203793058890337,117.50577287122726,235.01154574068144,1.9999999999849107,2.077865389586607,0.016411154434199375,126.61299349279913,stable_crossover,True,False,0.6182767621549239,1.3855351893290566,-0.27736836736383064,7.499755642030734e-15,1.4870833234572743e-05,0.9999376239011093,7.640879242465773e-16
mu_over_T_2,0,-1,singlet,0,3.5,0.15979910939976305,15.184432054750223,122.90081855423516,245.80163565198026,1.9999999881490613,2.651425514066384,0.03520835238094877,75.3067194220957,stable_crossover,True,False,0.6140992393172456,1.342336001262912,-0.28743590012173015,8.789892499952528e-10,7.89458938849964e-06,nan,7.213594289266495e-16
mu_over_T_2,1,0,singlet,0,3.25,0.1832954560408366,11.277459946322931,128.42545669868616,256.85090997020575,1.9999999733139624,3.380158801393535,0.06820221434207441,49.560836609205104,stable_crossover,True,False,0.6149271081009537,1.3049130696966853,-0.30315200866802894,7.542269299819089e-10,3.548356123292735e-06,0.999934314584318,7.008190842548824e-16
mu_over_T_2,2,1,singlet,0,3.0,0.19933849569306603,8.293733268668744,134.55328706632616,269.10657818791134,2.000000030138684,4.280975906339507,0.11931323743013851,35.88014204078694,stable_crossover,True,False,0.6218586211383832,1.2697816542731966,-0.3260044675979553,1.0672234298948938e-09,1.582444874484477e-06,0.9999293791146951,8.601674466970029e-16
mu_over_T_2,3,2,singlet,0,2.75,0.20637488288835357,6.061326382416166,141.80443093781403,283.60885607051625,1.99999995906255,5.353381593077503,0.18845420144440958,28.40680415743689,stable_crossover,True,False,0.6379392987183052,1.2337736830533086,-0.3565363934504432,2.6815121712937797e-09,9.469947638689111e-07,0.9999250288725222,9.075651808552686e-16
mu_over_T_2,4,3,singlet,0,2.5,0.20482469141099366,4.436402173382437,150.61550952526073,301.231015380325,1.999999975632015,6.580582400178056,0.2696556006432952,24.403655568359422,stable_crossover,True,False,0.668085197937902,1.195588968032625,-0.3941773607063751,1.2798941724713922e-12,1.1271392378613926e-06,0.9999237333345883,8.531868046767779e-16
