stride,n_phi,n_charge,mu_MeV,spinodal_low_T_MeV,spinodal_high_T_MeV,coexistence_T_MeV
2,71,61,830.0,75.5919622694097,95.35059412095862,81.51237908480046
2,71,61,834.0,74.98169415290666,95.25243098820144,81.02895719385997
2,71,61,838.0,74.36641456915252,95.15541438176804,80.54196431844815
2,71,61,842.0,73.74594936365142,95.0598227499061,80.05170482075073
2,71,61,846.0,73.12030803442126,94.96536210404999,79.55775936957892
2,71,61,850.0,72.48965387051629,94.87101710464846,79.05887517515313
1,141,121,598.0,103.42610798657307,103.47890123765033,103.45086141701911
1,141,121,602.0,103.11714307005245,103.25106219110438,103.17811875322039
1,141,121,606.0,102.79528716372052,103.03284240061302,102.90130605573592
1,141,121,610.0,102.46324576153044,102.82228541101131,102.62057798476256
1,141,121,614.0,102.12213258003936,102.61826925115712,102.33614965511241
1,141,121,618.0,101.77201952337735,102.42005829493311,102.04749004053265
1,141,121,622.0,101.4148878873482,102.22702754331526,101.75524463090848
1,141,121,626.0,101.04934418219756,102.03846901067163,101.45902740983442
1,141,121,630.0,100.67732595560669,101.85384832243892,101.1589270830394
1,141,121,634.0,100.29861053437513,101.67310905792048,100.8551747699234
1,141,121,638.0,99.91296079691912,101.49611981599828,100.54745658211026
1,141,121,642.0,99.52178407685716,101.32247491087965,100.23609698918823
1,141,121,646.0,99.1237155837567,101.1521832357999,99.92086461119771
1,141,121,650.0,98.7201322614926,100.98509835597153,99.60189457113975
1,141,121,654.0,98.31101702033044,100.82097179534098,99.27929339821138
1,141,121,658.0,97.89565448638261,100.65942008537624,98.95281243177011
1,141,121,662.0,97.47545232354706,100.50082082606004,98.62274751166561
1,141,121,666.0,97.04933521390606,100.34408994858731,98.28891255261902
1,141,121,670.0,96.61804223897597,100.1900863490012,97.95138026047424
1,141,121,674.0,96.18196025941778,100.03822409308448,97.610260914639
1,141,121,678.0,95.73998912151664,99.88878465157534,97.26536764990756
1,141,121,682.0,95.293518734784,99.74151974826596,96.91690115205904
1,141,121,686.0,94.84187213977631,99.59635415111681,96.56475842926022
1,141,121,690.0,94.38515550446867,99.4534691088191,96.20896642113232
1,141,121,694.0,93.92407743932354,99.31193506214777,95.84960886901649
1,141,121,698.0,93.45751704340559,99.17285814353593,95.48656728794364
1,141,121,702.0,92.98656722655095,99.03483341781379,95.11996592013368
1,141,121,706.0,92.51099110747776,98.89905029193959,94.74974121231142
1,141,121,710.0,92.03039225514198,98.76475719362217,94.37591793256098
1,141,121,714.0,91.54559824626911,98.63213427193952,93.99856167675593
1,141,121,718.0,91.05585110527831,98.50137662573016,93.61754052651352
1,141,121,722.0,90.5616862054237,98.37218818216769,93.23301807719744
1,141,121,726.0,90.06323105819574,98.24422242291827,92.84488476031957
1,141,121,730.0,89.55988411541924,98.11826847009756,92.45320205097634
1,141,121,734.0,89.05237842431156,97.99307972805835,92.05798301200262
1,141,121,738.0,88.54036595803746,97.86957264522269,91.65916673495485
1,141,121,742.0,88.02390719980994,97.74754783852241,91.2568508993518
1,141,121,746.0,87.50327306422257,97.62651313120018,90.85094627334986
1,141,121,750.0,86.97805894518201,97.50703860222855,90.44153596605227
1,141,121,754.0,86.4486327089088,97.38895889076382,90.02856663245028
1,141,121,758.0,85.91495540239495,97.27201322887383,89.612057264476
1,141,121,762.0,85.3769229399295,97.15613644701791,89.19205164151467
1,141,121,766.0,84.83464982512844,97.04191660167729,88.76844336389838
1,141,121,770.0,84.28819811709135,96.92839380049178,88.34138802907864
1,141,121,774.0,83.7374707471408,96.81595856528357,87.91078184281872
1,141,121,778.0,83.1825002329689,96.70522003392892,87.47658125063373
1,141,121,782.0,82.62350146008718,96.59490707177899,87.03899204754124
1,141,121,786.0,82.06013087720731,96.48570301515028,86.59767466471091
1,141,121,790.0,81.4927479650636,96.3779166952247,86.15303142210746
1,141,121,794.0,80.92123551001178,96.27109859723646,85.70478224199178
1,141,121,798.0,80.34522094777108,96.16512848651813,85.25292862474892
1,141,121,802.0,79.76572273293935,96.06007160106084,84.79776674809375
1,141,121,806.0,79.18169730489959,95.95641349767013,84.33880514803865
1,141,121,810.0,78.59351328356797,95.85351453664062,83.87653150217403
1,141,121,814.0,78.00168735859151,95.75108851620722,83.41061647517701
1,141,121,818.0,77.40512713830275,95.65005280560351,82.94112537043648
1,141,121,822.0,76.80512582750137,95.55005842027445,82.4682430429909
1,141,121,826.0,76.20084357790853,95.45041049974891,81.99173345690323
1,141,121,830.0,75.59184505490697,95.35173113709774,81.51170293775094
1,141,121,834.0,74.98012379157375,95.25426241273257,81.02809581644877
1,141,121,838.0,74.36333101110445,95.15753742328633,80.54102300138882
1,141,121,842.0,73.74276663265833,95.06148810963147,80.05023772401141
1,141,121,846.0,73.11865167032525,94.96603640713252,79.55614179248968
1,141,121,850.0,72.48921955785241,94.87183566195274,79.05816285622153
