sector,mode,study,N,r_cut,Re_omega,Im_omega,distance_to_shooting,pencil_residual,eigenvalue_condition,right_overlap_previous
tensor,2,radial_resolution,160,10.0,-2.1366804342863864e-09,-1.4711947954927354,0.25000285067004707,7.84294126923672e-16,480078619.4884917,0.9999999911101662
tensor,2,radial_domain,160,8.0,-8.139349045929516e-09,-1.4710853921281688,0.2498934473055337,8.0265636593095e-16,nan,nan
tensor,2,radial_domain,160,9.0,-1.4449457535405693e-09,-1.4710860853503611,0.2498941405276708,7.501414997870579e-16,nan,0.9999999927237138
tensor,2,radial_domain,160,10.0,-2.1366804342863864e-09,-1.4711947954927354,0.25000285067004707,7.84294126923672e-16,nan,0.9999999949769062
tensor,2,radial_domain,160,11.0,-2.4189875830105413e-09,-1.4714639096578286,0.25027196483513353,7.282471717168411e-16,nan,0.9999999962795084
tensor,2,radial_domain,160,12.0,-1.5784394543485129e-09,-1.471910755422548,0.25071881059983087,6.605351194214959e-16,nan,0.999999996061694
vector,0,radial_resolution,64,10.0,0.8445165096368767,-0.05129746096179658,0.00037725733853558334,4.949166185693386e-16,nan,nan
vector,0,radial_resolution,80,10.0,0.8442065430128851,-0.05148052066687164,0.00012187913428073078,5.173133259854758e-16,nan,0.9998879251895166
vector,0,radial_resolution,96,10.0,0.8442676857912396,-0.051561820897286545,2.23676938066649e-05,5.966898434728415e-16,nan,0.9999821200235418
vector,0,radial_resolution,112,10.0,0.8442701963444258,-0.05158708078881387,3.256308926276559e-06,6.950244752085926e-16,nan,0.9999942553851878
vector,0,radial_resolution,128,10.0,0.8442713158423637,-0.05158268390098721,1.2817980765596706e-06,7.583715201117558e-16,nan,0.9999974392262839
vector,0,radial_resolution,144,10.0,0.8442713021521334,-0.05158411150119568,3.1566130530007945e-07,8.468785123040725e-16,nan,0.9999981151753324
vector,0,radial_resolution,160,10.0,0.844270977126794,-0.05158386936995241,9.136824278478864e-08,8.259242532922222e-16,451.1909009039675,0.9999990717749144
vector,0,radial_domain,160,8.0,0.8442706270664411,-0.051583818952971205,4.291100439396112e-07,8.558930078680233e-16,nan,nan
