T_MeV,accepted_by_residual,charge_fraction,horizon_gauge_defect,hydro_D_B_hat,hydro_omega_hat_imag,linear_residual,mode,mu_MeV,omega_hat_imag,omega_hat_real,omega_numeric_imag,omega_numeric_real,optimizer_success,phi0,primitive_constraint_maximum,qhat,sector,source_determinant_abs,source_singular_value,spinodal_fraction,trajectory
99.9403406997832,True,0.3702295161595172,9.201325154939403e-20,-0.03895331164241223,0.014023192191268402,8.38419308807002e-18,diffusion,650.0000000001171,-0.008402995512989661,-0.0,-0.0042014977564948305,-0.0,True,3.532652625782894,8.077635330345572e-07,0.6,helicity0,2.3140075131447323e-13,1.1650209312494717e-12,0.5,f0.50
100.92380572111027,True,0.3100386529765798,1.0096235701431537e-20,-0.010596330542434213,1.0596330542434214e-06,5.8563076525370085e-18,diffusion,649.999999999776,1.0572143274017759e-06,0.0,5.286071637008879e-07,0.0,True,3.813669221404527,6.23448108017783e-07,0.01,helicity0,7.296312400584466e-11,2.0577498462551086e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,3.3820197724822464e-20,-0.010596330542434213,4.238532216973686e-06,6.673911367925974e-18,diffusion,649.999999999776,4.199874890712029e-06,0.0,2.0999374453560145e-06,0.0,True,3.813669221404527,6.234583685953201e-07,0.02,helicity0,1.763345907292344e-10,5.003009010841375e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.123562784661597e-20,-0.010596330542434213,9.536697488190792e-06,1.351102672263004e-17,diffusion,649.999999999776,9.341427831714569e-06,0.0,4.670713915857284e-06,0.0,True,3.813669221404527,6.234822862084225e-07,0.03,helicity0,1.7626188881841958e-10,5.0518013005654355e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,3.002877054159101e-20,-0.010596330542434213,2.6490826356085538e-05,1.1431389843923501e-17,diffusion,649.999999999776,2.498827413672315e-05,0.0,1.2494137068361575e-05,0.0,True,3.813669221404527,6.234593845697928e-07,0.05,helicity0,1.0848880174939731e-10,3.214175925340106e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,3.389346952110205e-20,-0.010596330542434213,6.781651547157897e-05,8.055216084729986e-18,diffusion,649.999999999776,5.8057049472366894e-05,0.0,2.9028524736183447e-05,0.0,True,3.813669221404527,6.235135528011759e-07,0.08,helicity0,1.0320140264455029e-10,3.324261832847705e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,3.2812783679502186e-20,-0.010596330542434213,0.00015258715981105266,8.108965865154168e-18,diffusion,649.999999999776,0.0001040537834062054,0.0,5.20268917031027e-05,0.0,True,3.813669221404527,6.23555199049852e-07,0.12,helicity0,2.490025793720524e-11,9.52311789092377e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.8825175461750246e-20,-0.010596330542434213,0.0002712660618863159,1.19798275037823e-17,diffusion,649.999999999776,0.00012157257790855498,0.0,6.078628895427749e-05,0.0,True,3.813669221404527,6.236233256670541e-07,0.16,helicity0,4.548258849985567e-11,2.1714802854155294e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,1.7426933950187637e-20,-0.010596330542434213,0.0004238532216973686,9.591856286716382e-18,diffusion,649.999999999776,6.921076113813528e-05,0.0,3.460538056906764e-05,0.0,True,3.813669221404527,6.236454067625639e-07,0.2,helicity0,1.9131915605102797e-11,1.1734180950139625e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.798787103717633e-20,-0.010596330542434213,0.0006103486392442107,8.632639744044772e-18,diffusion,649.999999999776,-9.97133120883534e-05,-0.0,-4.98566560441767e-05,-0.0,True,3.813669221404527,6.236585261313062e-07,0.24,helicity0,4.9512972111444846e-12,3.973384445158666e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,4.5580037526822797e-20,-0.010596330542434213,0.0007163119446685529,1.2008722228714468e-17,diffusion,649.999999999776,-0.00024314832305098624,-0.0,-0.00012157416152549312,-0.0,True,3.813669221404527,6.236479680902443e-07,0.26,helicity0,7.698982669954164e-12,7.107856703134232e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.2526530604612507e-20,-0.010596330542434213,0.0008307523145268424,1.355756541319045e-17,diffusion,649.999999999776,-0.0004340745168767435,-0.0,-0.00021703725843837175,-0.0,True,3.813669221404527,6.236309899423622e-07,0.28,helicity0,1.1534097397368045e-11,1.2290983937526279e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,6.480246022208113e-20,-0.010596330542434213,0.0009536697488190791,1.3489445197444202e-17,diffusion,649.999999999776,-0.0006785187524181992,-0.0,-0.0003392593762090996,-0.0,True,3.813669221404527,6.235795052518713e-07,0.3,helicity0,4.674126763819029e-12,5.762713488603695e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,1.3836703885878777e-20,-0.010596330542434213,0.0010850642475452635,9.86393544046021e-18,diffusion,649.999999999776,-0.0009823656242480348,-0.0,-0.0004911828121240174,-0.0,True,3.813669221404527,6.235064586716205e-07,0.32,helicity0,1.0591565074254069e-11,1.5128068545038013e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,1.3286915242145693e-20,-0.010596330542434213,0.001373284438299474,8.849534285526947e-18,diffusion,649.999999999776,-0.0017908552637736596,-0.0,-0.0008954276318868298,-0.0,True,3.813669221404527,6.232843105909472e-07,0.36,helicity0,3.183493301346525e-12,6.09625590197956e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,1.452445959752795e-20,-0.010596330542434213,0.0016954128867894744,9.683105347896318e-18,diffusion,649.999999999776,-0.0029022971382239877,-0.0,-0.0014511485691119938,-0.0,True,3.813669221404527,6.229588193785751e-07,0.4,helicity0,1.2308306668915091e-11,3.1289643070204e-11,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.2491562285229507e-20,-0.010596330542434213,0.0018691927076853949,9.067054762016188e-18,diffusion,649.999999999776,-0.0035838819105879307,-0.0,-0.0017919409552939654,-0.0,True,3.813669221404527,6.227289175087231e-07,0.42,helicity0,2.307433892666483e-12,6.717321476262599e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.6846274352464962e-20,-0.010596330542434213,0.0021457569348429283,8.483629854217051e-18,diffusion,649.999999999776,-0.004776088753096,-0.0,-0.002388044376548,-0.0,True,3.813669221404527,6.22354046959896e-07,0.45,helicity0,2.4741244223392836e-12,8.743980222985133e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,5.666170025220229e-20,-0.010596330542434213,0.0026490826356085533,8.15003731682078e-18,diffusion,649.999999999776,-0.007249127317931678,-0.0,-0.003624563658965839,-0.0,True,3.813669221404527,6.215323336626223e-07,0.5,helicity0,7.533498753146736e-13,3.575344264356506e-12,0.9,f0.90
100.92380572111027,True,0.3100386529765798,2.1977054193392724e-20,-0.010596330542434213,0.0038146789952763164,8.366194563841649e-18,diffusion,649.999999999776,-0.014204273608182893,-0.0,-0.007102136804091446,-0.0,True,3.813669221404527,6.189354419325548e-07,0.6,helicity0,1.2172459428194624e-12,9.3164223859183e-12,0.9,f0.90
